GENRE	TEXT	LABEL	EXTRACTION
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0018	ita	Torre del Popolo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0020	ita	Piazza Vecchia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0022	ita	Torre del Orologio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0024	ita	piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0026	ita	La Loggia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0028	ita	Tornasso Formentone
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0030	ita	Sansovino
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0032	ita	Palladio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0034	ita	Torre della Pallata
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0036	ita	Brescia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0038	ita	Verona Verona La Degna Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0040	ita	fresco
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0042	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0044	ita	Italia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0002	ita	Frà Giaconda
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0004	ita	Sanmicheli
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0006	ita	Frà Giacondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0008	ita	Palazzo del Consiglio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0010	ita	La Loggia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0012	ita	Piazza dei Signori
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0014	ita	Palazzo della Ragione
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0016	ita	Prefettura
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0020	ita	Sanmicheli
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0022	ita	Scaligeri
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0024	ita	Della Scala
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0028	ita	Piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0030	ita	Scaligeri
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0032	ita	Ezzelino
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0034	ita	Mastino della Scala
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0036	ita	Capitano del Popolo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0038	ita	Scaligeri
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0040	ita	Scala
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0042	ita	Sta Maria Antica
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0044	ita	Piazza dei Signori
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0046	ita	Mastino
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0048	ita	Sta Maria Antica
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0054	ita	Mastino
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0058	ita	tale
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0060	ita	Mastino
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0062	ita	Bartolommeo della Scala
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0064	ita	Signorio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0066	ita	Signorio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0070	ita	Delia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_08_out.txt_0074	ita	Piazza del Duomo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_09_out.txt_0002	ita	Gianbattista da Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_09_out.txt_0004	ita	Giovanni in Fonte
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_09_out.txt_0006	ita	Paolo Veronese
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_09_out.txt_0008	ita	Alessandro Rossi
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0002	ita	Della
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0004	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0006	ita	Piazza dei Signori
